No;Skill's Group;Number of occurrences;Percentage of occurrences
1;Programming Language;3832;29,87%
2;Web development;2456;19,14%
3;Data Base;2291;17,86%
4;Developer's tools;1107;8,63%
5;Application Programming Interface;554;4,32%
6;Software infrastructure;445;3,47%
7;Design Patterns;444;3,46%
8;Soft Skills;340;2,65%
9;Operating system;314;2,45%
10;Virtualization tools;294;2,29%
11;Software development method;272;2,12%
12;Website Layout;230;1,79%
13;Testing;62;0,48%
14;Big Data;55;0,43%
15;Computer networks;35;0,27%
16;PC user;18;0,14%
17;Mobile development;14;0,11%
18;Standards;14;0,11%
19;Business analysis;10;0,08%
20;Corporate information systems;10;0,08%
21;Server's Software;9;0,07%
22;Internet-marketing;6;0,05%
23;Web services;4;0,03%
24;Desktop development;4;0,03%
25;Information security;4;0,03%
26;Automated control systems;3;0,02%
27;CMS;1;0,01%
28;Game development;1;0,01%
29;Web applications;0;0,00%
30;Computer graphics;0;0,00%
31;Machine learning;0;0,00%
32;Maintenance;0;0,00%
