No;Skill;Skill's Group;Number of occurrences
1;Java;Programming Language;2566
2;Spring Framework;Framework;1830
3;Git;Developer's tools;1081
4;PostgreSQL;DataBase;866
5;SQL;DataBase;841
6;Hibernate ORM;Library;737
7;Apache Maven;Software infrastructure;422
8;Java SE;Virtualization tools;338
9;Object Oriented Programming;Design Patterns;335
10;Linux;Operating system;294
11;REST;Application Programming interface;276
12;Java EE;Virtualization tools;273
13;Docker;Virtualization tools;242
14;English language;Soft skill;217
15;Spring Boot;Web development;205
16;JUnit;Testing;198
17;JavaScript;Programming Language;191
18;Kafka;Software infrastructure;179
19;MongoDB;Data Base;158
20;Atlassian Jira;Software development method;150
